ALGORITMA,KATEGORI,BASIS_EVALUASI,N_OBSERVASI_EVALUASI,RMSE,MAPE
LightGBM,AIR MINERAL,Rata-rata harian per bulan,5,46.73026686654412,11.244923794330472
LightGBM,MINUMAN TEH,Rata-rata harian per bulan,5,13.490487123477404,7.8278967288507
LightGBM,ROKOK,Rata-rata harian per bulan,5,4.9810859163008745,4.994025048617997
LightGBM,SEMUA_KATEGORI,Rata-rata harian per bulan,20,24.527025694506403,9.719392814721326
LightGBM,SUSU,Rata-rata harian per bulan,5,3.97210983272082,14.810725687086137
XGBoost,AIR MINERAL,Rata-rata harian per bulan,5,50.71014497582724,11.869556228785653
XGBoost,MINUMAN TEH,Rata-rata harian per bulan,5,18.859482142428288,8.814720250087014
XGBoost,ROKOK,Rata-rata harian per bulan,5,9.196260749885637,11.129554613784824
XGBoost,SEMUA_KATEGORI,Rata-rata harian per bulan,20,27.517121832743822,11.75467202236943
XGBoost,SUSU,Rata-rata harian per bulan,5,4.122850215856917,15.204856996820244
